time, mass, displacement x, displacement y, displacement, velocity x, velocity y, velocity, acceleration x, acceleration y, acceleration
0.04, 10, 1.042, 2.074712, 2.321679, 26.1, 51.7356, 57.94637, 2.5, -6.610001, 7.066973, 
0.08, 10, 2.088, 4.138848, 4.63571, 26.2, 51.4712, 57.75573, 2.5, -6.610001, 7.066973, 
0.12, 10, 3.138, 6.192409, 6.942115, 26.3, 51.2068, 57.56584, 2.5, -6.610001, 7.066973, 
0.16, 10, 4.192, 8.235393, 9.240917, 26.4, 50.9424, 57.37672, 2.5, -6.610001, 7.066973, 
0.2, 10, 5.25, 10.2678, 11.53214, 26.5, 50.678, 57.18837, 2.5, -6.610001, 7.066973, 
0.24, 10, 6.312, 12.28963, 13.8158, 26.6, 50.4136, 57.0008, 2.5, -6.610001, 7.066973, 
0.28, 10, 7.378, 14.30089, 16.09193, 26.7, 50.1492, 56.81401, 2.5, -6.610001, 7.066973, 
0.32, 10, 8.448, 16.30157, 18.36055, 26.8, 49.8848, 56.62803, 2.5, -6.610001, 7.066973, 
0.36, 10, 9.522, 18.29167, 20.62168, 26.9, 49.6204, 56.44284, 2.5, -6.610001, 7.066973, 
0.4, 10, 10.6, 20.2712, 22.87535, 27, 49.356, 56.25846, 2.5, -6.610001, 7.066973, 
0.44, 10, 11.682, 22.24015, 25.12158, 27.1, 49.09159, 56.0749, 2.5, -6.610001, 7.066973, 
0.48, 10, 12.768, 24.19853, 27.36039, 27.2, 48.82719, 55.89217, 2.5, -6.610001, 7.066973, 
0.52, 10, 13.858, 26.14633, 29.5918, 27.3, 48.56279, 55.71028, 2.5, -6.610001, 7.066973, 
0.56, 10, 14.952, 28.08355, 31.81585, 27.40001, 48.29839, 55.52923, 2.5, -6.610001, 7.066973, 
0.6, 10, 16.05, 30.0102, 34.03255, 27.50001, 48.03399, 55.34903, 2.5, -6.610001, 7.066973, 
0.64, 10, 17.152, 31.92627, 36.24194, 27.60001, 47.76959, 55.16969, 2.5, -6.610001, 7.066973, 
0.68, 10, 18.258, 33.83177, 38.44403, 27.70001, 47.50519, 54.99121, 2.5, -6.610001, 7.066973, 
0.72, 10, 19.368, 35.72669, 40.63884, 27.80001, 47.24079, 54.81362, 2.5, -6.610001, 7.066973, 
0.76, 10, 20.482, 37.61103, 42.82642, 27.90001, 46.97639, 54.63691, 2.5, -6.610001, 7.066973, 
0.8, 10, 21.6, 39.4848, 45.00677, 28.00001, 46.71199, 54.46109, 2.5, -6.610001, 7.066973, 
0.84, 10, 22.722, 41.34799, 47.17993, 28.10001, 46.44759, 54.28618, 2.5, -6.610001, 7.066973, 
0.88, 10, 23.848, 43.20061, 49.34592, 28.20001, 46.18319, 54.11217, 2.5, -6.610001, 7.066973, 
0.92, 10, 24.978, 45.04265, 51.50476, 28.30001, 45.91879, 53.93909, 2.5, -6.610001, 7.066973, 
0.96, 10, 26.112, 46.87411, 53.65649, 28.40001, 45.65439, 53.76694, 2.5, -6.610001, 7.066973, 
1, 10, 27.25, 48.695, 55.80112, 28.50001, 45.38999, 53.59572, 2.5, -6.610001, 7.066973, 
1.04, 10, 28.392, 50.50531, 57.93869, 28.60001, 45.12559, 53.42546, 2.5, -6.610001, 7.066973, 
1.08, 10, 29.538, 52.30505, 60.06922, 28.70001, 44.86119, 53.25614, 2.5, -6.610001, 7.066973, 
1.12, 10, 30.688, 54.0942, 62.19274, 28.80001, 44.59679, 53.0878, 2.5, -6.610001, 7.066973, 
1.16, 10, 31.842, 55.87279, 64.30927, 28.90001, 44.33239, 52.92042, 2.5, -6.610001, 7.066973, 
1.2, 10, 33, 57.6408, 66.41884, 29.00001, 44.06799, 52.75403, 2.5, -6.610001, 7.066973, 
1.24, 10, 34.162, 59.39823, 68.52147, 29.10001, 43.80359, 52.58864, 2.5, -6.610001, 7.066973, 
1.28, 10, 35.328, 61.14508, 70.6172, 29.20001, 43.53918, 52.42424, 2.5, -6.610001, 7.066973, 
1.32, 10, 36.498, 62.88136, 72.70605, 29.30001, 43.27478, 52.26086, 2.5, -6.610001, 7.066973, 
1.36, 10, 37.672, 64.60706, 74.78805, 29.40001, 43.01038, 52.0985, 2.5, -6.610001, 7.066973, 
1.4, 10, 38.85001, 66.32219, 76.86323, 29.50001, 42.74598, 51.93717, 2.5, -6.610001, 7.066973, 
1.44, 10, 40.03201, 68.02674, 78.93161, 29.60001, 42.48158, 51.77688, 2.5, -6.610001, 7.066973, 
1.48, 10, 41.21801, 69.72072, 80.99323, 29.70001, 42.21718, 51.61765, 2.5, -6.610001, 7.066973, 
1.52, 10, 42.408, 71.40411, 83.0481, 29.80001, 41.95278, 51.45947, 2.5, -6.610001, 7.066973, 
1.56, 10, 43.60201, 73.07693, 85.09626, 29.90001, 41.68838, 51.30236, 2.5, -6.610001, 7.066973, 
1.6, 10, 44.80001, 74.73918, 87.13774, 30.00002, 41.42398, 51.14633, 2.5, -6.610001, 7.066973, 
1.64, 10, 46.00201, 76.39085, 89.17257, 30.10002, 41.15958, 50.99139, 2.5, -6.610001, 7.066973, 
1.68, 10, 47.20801, 78.03195, 91.20078, 30.20002, 40.89518, 50.83755, 2.5, -6.610001, 7.066973, 
1.72, 10, 48.41801, 79.66247, 93.22238, 30.30002, 40.63078, 50.68482, 2.5, -6.610001, 7.066973, 
1.76, 10, 49.63201, 81.28241, 95.23742, 30.40002, 40.36638, 50.53321, 2.5, -6.610001, 7.066973, 
1.8, 10, 50.85001, 82.89178, 97.24593, 30.50002, 40.10198, 50.38273, 2.5, -6.610001, 7.066973, 
1.84, 10, 52.07201, 84.49057, 99.24792, 30.60002, 39.83758, 50.23339, 2.5, -6.610001, 7.066973, 
1.88, 10, 53.29801, 86.07879, 101.2435, 30.70002, 39.57318, 50.0852, 2.5, -6.610001, 7.066973, 
1.92, 10, 54.52801, 87.65643, 103.2325, 30.80002, 39.30878, 49.93817, 2.5, -6.610001, 7.066973, 
1.96, 10, 55.76201, 89.22349, 105.2152, 30.90002, 39.04438, 49.79231, 2.5, -6.610001, 7.066973, 
2, 10, 57.00001, 90.77998, 107.1914, 31.00002, 38.77998, 49.64764, 2.5, -6.610001, 7.066973, 
2.04, 10, 58.24201, 92.32589, 109.1614, 31.10002, 38.51558, 49.50415, 2.5, -6.610001, 7.066973, 
2.08, 10, 59.48801, 93.86122, 111.1249, 31.20002, 38.25117, 49.36186, 2.5, -6.610001, 7.066973, 
2.12, 10, 60.73801, 95.38598, 113.0822, 31.30002, 37.98677, 49.22079, 2.5, -6.610001, 7.066973, 
2.16, 10, 61.99202, 96.90016, 115.0333, 31.40002, 37.72237, 49.08094, 2.5, -6.610001, 7.066973, 
2.2, 10, 63.25002, 98.40377, 116.9781, 31.50002, 37.45797, 48.94233, 2.5, -6.610001, 7.066973, 
2.24, 10, 64.51202, 99.8968, 118.9167, 31.60002, 37.19357, 48.80495, 2.5, -6.610001, 7.066973, 
